gene	FF6wks	FF6wks	FF6wks	FMC6wks	FMC6wks	FMC6wks
0610005C13Rik	5	12	4	0	2	11
0610007N19Rik	43	102	72	55	29	38
0610007P14Rik	51	87	64	108	84	80
0610008F07Rik	0	0	0	0	0	0
0610009B14Rik	0	1	2	1	0	0
0610009B22Rik	38	45	39	49	51	61
0610009D07Rik	307	431	383	478	418	395
0610009L18Rik	9	13	14	4	10	11
0610009O20Rik	147	156	130	211	138	170
0610010B08Rik	5	0	2	0	3	0
0610010F05Rik	282	293	255	258	272	226
0610010K14Rik	82	110	72	87	77	90
0610011F06Rik	51	57	63	61	57	43
0610012G03Rik	69	88	60	99	67	77
0610012H03Rik	1	0	0	1	0	0
0610030E20Rik	141	178	156	198	152	160
0610031J06Rik	115	196	117	199	148	139
0610031O16Rik	0	1	0	0	0	0
0610037L13Rik	92	109	65	120	67	111
0610038B21Rik	3	1	1	0	2	0
0610038L08Rik	2	6	0	5	6	6
0610039K10Rik	1	0	0	1	3	1
0610040B10Rik	7	6	7	7	5	7
0610040F04Rik	0	2	0	2	3	3
0610040J01Rik	26	46	29	70	35	57
0610043K17Rik	19	18	12	22	17	16
1100001G20Rik	3	2	1	0	0	1
1110001A16Rik	27	45	30	41	46	44
1110001J03Rik	23	40	45	42	30	46
1110002L01Rik	14	19	11	11	14	5
1110004E09Rik	140	142	144	142	160	163
1110004F10Rik	902	1266	950	1209	994	1096
1110006O24Rik	3	10	9	5	2	0
1110007C09Rik	77	114	97	97	73	99
1110008F13Rik	121	152	136	151	137	126
1110008J03Rik	17	21	28	27	31	16
1110008L16Rik	52	62	39	71	58	56
1110008P14Rik	47	26	26	31	35	20
1110012L19Rik	45	59	52	59	41	56
1110015O18Rik	0	1	0	3	1	1
1110017D15Rik	8	3	5	0	4	8
1110018G07Rik	296	318	232	409	296	242
1110019D14Rik	22	35	20	19	18	12
1110020A21Rik	10	11	2	15	15	5
1110025L11Rik	0	0	0	0	0	0
1110028F11Rik	7	9	6	11	8	10
1110028F18Rik	0	2	0	0	1	1
1110032A03Rik	215	299	205	270	223	205
1110032F04Rik	7	3	2	3	4	0
1110034G24Rik	23	29	18	26	19	29
1110035M17Rik	6	6	3	2	2	4
1110036E04Rik	0	0	0	0	0	0
1110037F02Rik	409	525	462	605	492	501
1110038B12Rik	9	12	12	24	29	15
1110038F14Rik	66	83	67	81	67	75
1110046J04Rik	20	22	16	23	13	19
1110051M20Rik	218	215	227	251	179	211
1110054M08Rik	5	11	12	11	8	15
