"ID_REF"	"GSM322969"	"GSM323054"	"GSM323523"	"GSM323524"	"GSM323525"	"GSM323526"	"GSM323527"	"GSM323528"	"GSM323529"	"GSM323530"	"GSM323531"	"GSM323554"	"GSM323555"	"GSM323557"	"GSM323558"	"GSM323559"	"GSM323560"	"GSM323561"	"GSM323562"	"GSM323563"	"GSM323564"	"GSM323565"	"GSM323566"	"GSM323567"	"GSM323569"
"1007_s_at"	3386.78	3325.85	3311.03	3563.78	3363.26	3623.68	3535.99	3171.82	3627.84	3471.29	2845.62	3445.07	3719.42	3539.13	3726.9	3785.11	3672.63	3939.66	2868.42	3437.73	3118.19	1195.91	2675.79	1129.35	1856.85
"1053_at"	300.05	216.07	213.97	248.68	271.44	245.25	241.93	251.52	206.22	225.55	254.89	211.77	233.11	234.32	237.11	217.74	205.51	247.06	279.97	260.18	201.07	306.47	271.02	246.67	292.16
"117_at"	249.2	215.01	266.04	220.23	231.63	311.34	315.74	279.02	221.36	217.1	284.21	229.47	264.9	252.45	245.77	229.16	302.51	224.36	240.11	309.93	355.04	275.34	247.42	230.05	224.9
"121_at"	1383.53	1401.26	1139.06	1296.08	1063.44	1325.59	1381.33	1215.46	1121.68	1229.96	1095.55	1230.04	1232.83	1417.63	1212.26	1068.89	1144.76	1143.3	1016.01	1142.18	1294.14	1379.17	1200.53	1103.67	1095.29
"1255_g_at"	62.45	64.93	68.46	67.55	72.12	74.64	59.86	62.74	63.72	69.61	64.68	67.18	57.74	63.29	71.9	57.27	51.79	63.87	52.56	63.12	64.41	68.7	59.32	49.64	113.94
"1294_at"	426.71	432.39	429.28	477.28	383.77	500.37	435.37	424.53	412.34	405.23	409.52	422.66	432.71	457.74	442.27	412.95	479.03	490.18	472.65	526.47	494.74	468.88	517.35	419.73	458.54
"1316_at"	170.98	186.61	189.25	188.78	197.08	211.48	197.32	203.78	174.28	217.55	174.9	186.08	179.16	216.09	208.54	172.69	186.75	201.74	167.42	221.55	189.03	231.08	232.46	201.75	212.84
"1320_at"	220.58	199.66	196.66	212.62	185.63	199.18	219.65	194.15	176.8	207.3	188.95	180.85	184.55	199.39	150.5	149.44	191.67	193.24	181.64	161.24	191.8	186.19	149.22	164.05	239.88
"1405_i_at"	182.11	154.09	146.25	148.51	131.2	168.38	162.45	173.53	122.09	141.52	95.85	150.05	167.29	177.19	134.98	157.49	165.64	147.3	376.71	161.65	443.36	132.24	125.52	122.13	126.15
"1431_at"	79	80.72	78.77	66.52	78.44	73.08	70.9	69.87	78.19	91.4	72.75	68.43	63.06	81.44	64.14	62.54	72.46	89.36	76.2	74.93	72.17	91.82	104.54	124.72	111.97
"1438_at"	158.56	180.34	164.89	182.34	184.18	180.76	181.94	158.95	157.14	198.87	169.5	164.86	168.97	186.62	152.9	154.1	172.77	190.28	156.73	194.28	185.03	240.31	186.69	229.18	216.57
"1487_at"	290.86	282.41	259.25	342.13	282.16	332.9	295.5	285.64	286.37	269.38	256.78	254.6	276.78	285.3	305.05	287.8	280.98	418.34	341.09	345.27	330.36	360.57	403.87	385.71	340.16
"1494_f_at"	388.69	399.36	374.52	392.08	398.71	460.47	369.74	372.48	316.06	487.45	312.21	362.08	353.99	420.82	406.64	320.19	309.02	371.8	314.08	394.29	390.05	389.79	410.38	345.84	392.15
"1598_g_at"	695.98	717.43	713.24	954.25	656.09	900.39	927.45	1135.16	608.56	688.65	746.12	769	746.75	763.61	730.57	726.86	826.27	798.82	726.92	861.51	1271.49	996.36	1307.23	984.78	1034.24
"160020_at"	2657.93	2709.61	2350.28	2229.37	2095.95	2614	2907.51	2385.36	2191.3	2657.93	2316.92	2795.68	2365.23	3049.06	2294.91	2070.2	2410.6	2570.07	1771.67	2371.64	2537.8	2807.72	2899.51	2148.6	2036.07
"1729_at"	403.52	308.51	379.71	352	350.77	393.04	391.31	391.8	329.14	363.62	311.74	394.41	399.73	352.02	352.38	332.78	407.9	391.53	342.53	362.76	377.17	277.64	317.42	274.79	322.94
"1773_at"	289.17	241.05	312.15	269.84	311.15	238.98	257.81	210.49	298.79	301.09	272.22	285.58	271.54	249.5	212.88	248.98	222.14	260.78	259.65	250.06	185.23	243.24	202.01	266.53	252.22
"177_at"	185.65	204.68	178.11	185.9	201.11	206.64	223.3	180.96	148.85	215.06	167	181.29	185.72	193.49	168.91	147.03	183.22	171.11	169.36	203.13	199.75	188.49	167.89	155.95	204.81
"179_at"	1015.6	886.11	894.06	1073.72	958.71	1100.49	1027.6	889.96	840	969.14	903.92	963.84	899.74	1125.53	827.79	828.45	976.72	1028.28	840.73	1051.35	974.65	1044.87	984.59	918.32	1191.17
"1861_at"	191.95	170.03	216.01	204.38	218.62	132.5	168.44	179.52	222.79	165.45	204.67	184.33	182.56	148.23	181.04	205.73	168.31	209.4	217.88	152.28	145.6	151.3	182.9	204.86	249.46
"200000_s_at"	705.62	798.88	878.36	829.97	758.93	915.49	744.03	808.12	890.57	808.79	865.44	852.17	822.04	754.45	766.02	875.66	793.95	873.87	887.64	866.84	1070.04	1037.7	956.55	1299.18	1186.89
"200001_at"	1710.45	1176.22	1277.57	1465.86	1417.21	1102.79	1277.81	1355.72	1529.62	1095.03	1309.01	1555.89	1401.59	1155.77	1263.43	1445.84	1591.28	1587.7	1544.15	1429.46	1239.67	939.71	1108.53	1389.66	1254.72
"200002_at"	3355.38	2797.19	3098.51	3458.39	3690.6	3153.05	3278.9	3221.98	3150.79	3130.49	3553.9	3304.92	3503.99	2906.89	3283.76	3133.01	3227.77	3579.04	4456.04	3477.19	3136.16	3043.96	3679.86	3394.84	3786.08
"200003_s_at"	4669.19	3747.88	4738.39	5049.3	5270.7	3762.6	4568.23	4208.65	4675.46	4467.25	6387.4	4610.54	4613.12	4267.56	4196.14	4875.23	4542.8	4637.22	5204.29	4183.51	4684.85	3407.89	3766.87	3040.1	4430.24
"200004_at"	2475.01	3015.5	3300.13	3159.8	2730.22	3385.69	2816.85	3049.22	3125.74	2714.16	3123.4	2576.77	3079.63	2941.14	3365.69	3319.52	3442.15	3766.69	2596.23	3053.08	2321.78	2753.88	3671.43	2758.86	3634.21
